Date,Close,MA_20,MA_50
2024-10-24,81.25,92.55,86.265
2024-10-25,83.75,92.6125,86.265
2024-10-28,81.25,91.975,86.215
2024-10-29,77.5,91.225,86.015
2024-10-30,107.5,91.6625,86.365
2024-10-31,125.0,93.1625,87.115
2024-11-01,71.5,91.8,86.795
2024-11-04,67.75,90.4625,86.39
2024-11-05,70.25,89.5625,86.035
2024-11-06,67.5,88.6875,85.55
2024-11-07,69.25,87.775,85.145
2024-11-08,65.5,86.4875,84.905
2024-11-11,67.75,84.8875,84.585
2024-11-12,66.75,83.1,84.395
2024-11-13,62.5,81.35,84.095
2024-11-14,62.5,79.3375,83.795
2024-11-15,59.5,77.5,83.44
2024-11-18,55.0,75.625,82.97
2024-11-19,53.0,73.975,82.48
2024-11-20,52.5,72.375,81.835
2024-11-21,54.5,71.0375,81.405
2024-11-22,54.75,69.5875,80.73
2024-11-25,52.75,68.1625,80.155
2024-11-26,55.0,67.0375,79.685
2024-11-27,53.25,64.325,79.22
2024-11-29,59.25,61.0375,78.85
2024-12-02,55.5,60.2375,78.41
2024-12-03,55.0,59.6,77.96
2024-12-04,54.75,58.825,77.445
2024-12-05,55.0,58.2,76.985
2024-12-06,49.25,57.2,76.325
2024-12-09,48.0,56.325,75.635
2024-12-10,46.25,55.25,74.68
2024-12-11,43.75,54.1,73.705
2024-12-12,42.5,53.1,72.58
2024-12-13,44.0,52.175,71.56
2024-12-16,44.0,51.4,70.465
2024-12-17,44.5,50.875,69.465
2024-12-18,42.75,50.3625,68.555
2024-12-19,44.5,49.9625,67.745
2024-12-20,44.5,49.4625,66.885
2024-12-23,47.25,49.0875,66.005
2024-12-24,40.75,48.4875,64.825
2024-12-26,50.0,48.2375,63.775
2024-12-27,51.75,48.1625,62.86
2024-12-30,56.75,48.0375,61.94
2024-12-31,67.0,48.6125,61.355
2025-01-02,57.75,48.75,60.66
2025-01-03,61.75,49.1,60.175
2025-01-06,58.75,49.2875,59.66
2025-01-07,60.5,49.85,59.245
2025-01-08,60.75,50.4875,58.785
2025-01-10,57.5,51.05,58.31
2025-01-13,54.75,51.6,57.855
2025-01-14,61.0,52.525,56.925
2025-01-15,64.0,53.525,55.705
2025-01-16,60.5,54.35,55.485
2025-01-17,59.25,55.0875,55.315
2025-01-21,56.5,55.775,55.04
2025-01-22,60.5,56.575,54.9
2025-01-23,60.5,57.375,54.725
2025-01-24,67.5,58.3875,54.765
2025-01-27,63.75,59.5375,54.685
2025-01-28,72.5,60.6625,54.8
2025-01-29,73.25,61.7375,55.015
2025-01-30,64.25,62.1125,55.05
2025-01-31,64.25,61.975,55.145
2025-02-03,69.25,62.55,55.43
2025-02-04,70.0,62.9625,55.77
2025-02-05,71.75,63.6125,56.155
2025-02-06,67.5,63.9625,56.415
2025-02-07,66.0,64.225,56.64
2025-02-10,64.5,64.575,56.875
2025-02-11,63.25,65.0,57.04
2025-02-12,64.25,65.1625,57.26
2025-02-13,64.75,65.2,57.37
2025-02-14,65.75,65.4625,57.575
2025-02-18,66.25,65.8125,57.8
2025-02-19,66.5,66.3125,58.035
2025-02-20,67.0,66.6375,58.275
2025-02-21,65.5,66.8875,58.6
2025-02-24,63.0,66.6625,58.9
2025-02-25,62.75,66.6125,59.23
2025-02-26,65.5,66.2625,59.665
2025-02-27,62.75,65.7375,60.07
2025-02-28,64.0,65.725,60.47
2025-03-03,61.75,65.6,60.825
2025-03-04,60.25,65.15,61.14
2025-03-05,61.75,64.7375,61.52
2025-03-06,61.0,64.2,61.85
2025-03-07,60.0,63.825,62.16
2025-03-10,59.0,63.475,62.395
2025-03-11,61.0,63.3,62.8
2025-03-12,60.25,63.15,63.005
2025-03-13,57.0,62.7875,63.11
2025-03-14,52.5,62.175,63.025
2025-03-17,41.25,60.95,62.51
2025-03-18,44.75,59.875,62.25
2025-03-19,45.0,58.8,61.915
2025-03-20,49.5,57.925,61.73
2025-03-21,49.5,57.125,61.51
2025-03-24,47.875,56.36875,61.2525
2025-03-25,43.5,55.40625,60.9725
2025-03-26,44.75,54.36875,60.7725
2025-03-27,42.25,53.34375,60.3975
2025-03-28,43.25,52.30625,59.9825
2025-03-31,38.0,51.11875,59.5325
2025-04-01,38.0,50.00625,59.1075
2025-04-02,38.5,48.84375,58.7475
2025-04-03,36.224998474121094,47.60499992370605,58.261999969482424
2025-04-04,36.0,46.40499992370606,57.77199996948242
2025-04-07,34.25,45.16749992370605,57.10699996948242
2025-04-08,28.475000381469727,43.541249942779544,56.40149997711182
2025-04-09,28.75,41.96624994277954,55.52649997711182
2025-04-10,24.524999618530273,40.34249992370606,54.551999969482424
2025-04-11,26.5,39.04249992370605,53.79699996948242
2025-04-14,19.975000381469727,37.978749942779544,52.911499977111816
2025-04-15,79.75,39.728749942779544,53.12149997711182
2025-04-16,46.5,39.80374994277954,52.65149997711182
2025-04-17,46.25,39.64124994277954,52.14149997711181
2025-04-21,41.75,39.25374994277954,51.62649997711182
2025-04-22,44.5,39.08499994277954,51.19649997711181
2025-04-23,52.25,39.52249994277954,50.951499977111816
2025-04-24,69.25,40.74749994277954,51.07149997711181
